Version,File_name,LOC_Touched,LOC_Added,MaxLOC_Added,AvgLOC_Added,Churn,Max_Churn,Avg_Churn,NR,NFix,Buggy
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/ClusterControllerService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/DLNamespaceProviderService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/StorageService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/RegistrationStateService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/BookieService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/BookieWatchService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/service/RegistrationServiceProvider.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/StorageServer.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/conf/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/conf/BookieConfiguration.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/conf/StorageServerConfiguration.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/conf/DLConfiguration.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/exceptions/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/exceptions/StorageServerRuntimeException.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/ExitCode.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/StreamStorageLifecycleComponent.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/grpc/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/grpc/GrpcServer.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/grpc/GrpcStorageContainerService.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/server/grpc/GrpcServerSpec.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/cluster/StreamClusterSpec.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/cluster/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/cluster/StandaloneStarter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/main/java/org/apache/bookkeeper/stream/cluster/StreamCluster.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/test/java/org/apache/bookkeeper/stream/server/TestStorageServerMain.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/server/src/test/java/org/apache/bookkeeper/stream/server/grpc/TestGrpcServer.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/hash/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/hash/MurmurHash.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/hash/Murmur3.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/kv/KV.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/kv/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/kv/KVImpl.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/coder/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/coder/ByteArrayCoder.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/coder/Coder.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/coder/VarIntCoder.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/coder/StringUtf8Coder.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/exceptions/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/exceptions/ObjectClosedException.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/IntHashRouter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/Router.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/AbstractHashRouter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/BytesHashRouter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/StringUtf8HashRouter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/ByteBufHashRouter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/router/HashRouter.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/ExceptionUtils.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/Revisioned.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/AutoAsyncCloseable.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/VarInt.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/ExceptionalFunction.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/package-info.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/AsyncCloseable.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/Bytes.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/ListenableFutures.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/AbstractAutoAsyncCloseable.java,0,0,0,0.0,0,0,0.0,0,0,No
1,stream/common/src/main/java/org/apache/bookkeeper/common/util/CompletableRunnable.java,0,0,0,0.0,0,0,0.0,0,0,No
